minute,ofi_best_level
2024-10-21 11:54:00+00:00,-133.0
2024-10-21 11:55:00+00:00,-820.0
2024-10-21 11:56:00+00:00,-268.0
2024-10-21 11:57:00+00:00,103.0
2024-10-21 11:58:00+00:00,982.0
2024-10-21 11:59:00+00:00,230.0
2024-10-21 12:00:00+00:00,209.0
2024-10-21 12:01:00+00:00,-200.0
2024-10-21 12:02:00+00:00,-399.0
2024-10-21 12:03:00+00:00,-149.0
2024-10-21 12:04:00+00:00,50.0
2024-10-21 12:05:00+00:00,471.0
2024-10-21 12:06:00+00:00,-4631.0
2024-10-21 12:07:00+00:00,-1162.0
2024-10-21 12:08:00+00:00,699.0
2024-10-21 12:09:00+00:00,203.0
2024-10-21 12:10:00+00:00,9.0
2024-10-21 12:11:00+00:00,-1.0
2024-10-21 12:12:00+00:00,-2088.0
2024-10-21 12:13:00+00:00,-2025.0
2024-10-21 12:14:00+00:00,-22.0
2024-10-21 12:15:00+00:00,-6726.0
2024-10-21 12:16:00+00:00,-4628.0
2024-10-21 12:17:00+00:00,-2597.0
2024-10-21 12:18:00+00:00,-2350.0
2024-10-21 12:19:00+00:00,-2300.0
2024-10-21 12:20:00+00:00,-695.0
2024-10-21 12:21:00+00:00,0.0
2024-10-21 12:22:00+00:00,45.0
2024-10-21 12:23:00+00:00,-534.0
2024-10-21 12:24:00+00:00,10.0
2024-10-21 12:25:00+00:00,-74.0
2024-10-21 12:26:00+00:00,295.0
2024-10-21 12:27:00+00:00,-258.0
2024-10-21 12:28:00+00:00,-44.0
2024-10-21 12:29:00+00:00,843.0
2024-10-21 12:30:00+00:00,-4109.0
2024-10-21 12:31:00+00:00,-4506.0
2024-10-21 12:32:00+00:00,-4642.0
2024-10-21 12:33:00+00:00,-2757.0
2024-10-21 12:34:00+00:00,-5669.0
2024-10-21 12:35:00+00:00,-196.0
2024-10-21 12:36:00+00:00,283.0
2024-10-21 12:37:00+00:00,-90.0
2024-10-21 12:38:00+00:00,-3747.0
2024-10-21 12:39:00+00:00,-1153.0
2024-10-21 12:40:00+00:00,-3028.0
2024-10-21 12:41:00+00:00,-4762.0
2024-10-21 12:42:00+00:00,159.0
2024-10-21 12:43:00+00:00,-258.0
2024-10-21 12:44:00+00:00,-3828.0
2024-10-21 12:45:00+00:00,860.0
2024-10-21 12:46:00+00:00,-780.0
2024-10-21 12:47:00+00:00,-2291.0
2024-10-21 12:48:00+00:00,-1171.0
2024-10-21 12:49:00+00:00,509.0
2024-10-21 12:50:00+00:00,-700.0
2024-10-21 12:51:00+00:00,-435.0
2024-10-21 12:52:00+00:00,-14.0
2024-10-21 12:53:00+00:00,-626.0
2024-10-21 12:54:00+00:00,-651.0
2024-10-21 12:55:00+00:00,-2170.0
2024-10-21 12:56:00+00:00,-127.0
2024-10-21 12:57:00+00:00,25.0
2024-10-21 12:58:00+00:00,-614.0
2024-10-21 12:59:00+00:00,-51.0
2024-10-21 13:00:00+00:00,-307.0
2024-10-21 13:01:00+00:00,-840.0
2024-10-21 13:02:00+00:00,-4088.0
2024-10-21 13:03:00+00:00,818.0
2024-10-21 13:04:00+00:00,-233.0
